"";"maxO3";"T9";"T12";"T15";"Ne9";"Ne12";"Ne15";"Vx9";"Vx12";"Vx15";"maxO3v";"vent";"pluie"
"807";72;19,9;21,6;NA;7;7;NA;-3;NA;NA;65;"Ouest";"Pluie"
"808";60;18,7;21,4;21,7;7;7;7;NA;-6,0622;NA;72;NA;"Pluie"
"809";NA;18,4;NA;20,5;3;NA;3;-5,9088;-3,2139;-4,4995;NA;NA;NA
"810";77;17,1;NA;20,8;NA;5;NA;NA;-1,0261;0,5209;70;"Nord";NA
"811";98;17,8;NA;NA;1;NA;0;0;NA;-1;77;"Ouest";"Pluie"
"812";111;NA;25,2;NA;NA;5;NA;NA;-3;-2,2981;NA;NA;"Sec"
"813";75;18,8;20,5;26;8;7;NA;-0,866;0;0;111;NA;"Sec"
"814";116;NA;29,8;31,7;1;3;5;1,8794;1,3681;0,6946;75;"Sud";"Sec"
"815";109;NA;23,7;26,6;8;NA;NA;-1,0261;-1,7101;NA;116;NA;NA
"819";NA;NA;21,1;18,9;NA;7;8;NA;-5,3623;-2,5;NA;"Ouest";"Pluie"
"820";76;17,8;21,3;24;7;NA;5;-3,0642;-2,2981;-3,9392;67;"Ouest";NA
"821";113;20,6;24,8;NA;1;1;2;NA;0,8682;NA;76;"Sud";"Sec"
"822";117;21,6;26,9;28,6;NA;6;4;1,5321;NA;NA;113;"Sud";NA
"823";131;22,7;28,4;30,1;NA;3;3;NA;NA;-1,9284;117;"Ouest";"Sec"
"824";166;19,8;27,2;30,8;NA;0;1;0,6428;-0,866;0,684;131;"Ouest";"Sec"
"825";159;25;NA;NA;NA;1;1;NA;NA;-1,7101;NA;"Sud";"Sec"
"826";NA;20,1;22,9;27,6;8;8;6;1,2856;-1,7321;-0,684;159;"Ouest";NA
"827";114;21;26,3;26,4;7;4;NA;3,0642;NA;1,3681;100;NA;"Sec"
"828";112;21;NA;26,8;1;6;3;NA;4;3,7588;114;NA;"Sec"
"829";101;16,9;NA;NA;7;7;NA;-2;NA;1,8794;112;"Nord";NA
"830";76;NA;18,6;18,7;7;7;7;NA;-4;-1,7321;101;"Ouest";"Sec"
"831";59;16,5;20,3;20,3;5;7;6;-4,3301;-5,3623;-4,5;76;"Ouest";"Pluie"
"901";NA;17,7;20,2;NA;5;5;NA;0;0,5209;NA;NA;"Nord";"Pluie"
"902";76;NA;NA;24,6;NA;5;NA;-2,9544;NA;-2;78;NA;"Pluie"
"903";55;15,3;16,8;19,2;8;NA;5;NA;NA;NA;76;"Ouest";"Pluie"
"904";71;15,9;19,2;NA;NA;5;NA;-6,1284;0;NA;55;NA;NA
"905";66;16,2;NA;19,3;2;5;6;NA;-0,8682;1,7101;71;"Nord";NA
"906";NA;18,3;18,3;19;7;NA;7;-3,9392;-1,9284;NA;66;"Nord";"Pluie"
"907";68;16,9;20,8;NA;6;NA;7;-1,5;NA;-3,0642;59;NA;"Pluie"
"908";63;NA;19,8;19,4;NA;8;8;-4,5963;-6,0622;NA;68;"Ouest";NA
"912";78;14,2;NA;NA;NA;5;6;NA;-5;-5;NA;"Ouest";"Sec"
"913";NA;15,8;18,7;19,1;8;7;7;-4,5963;-6,8937;-7,5175;78;"Ouest";"Pluie"
"914";NA;15,2;17,9;18,6;NA;5;1;NA;NA;-1,0419;74;"Nord";"Pluie"
"915";69;17,1;NA;17,5;NA;7;NA;-5,1962;-2,7362;-1,0419;71;NA;"Pluie"
"916";NA;15,4;NA;16,6;NA;5;5;-3,8302;NA;1,3892;69;NA;NA
"917";NA;13,7;14;15,8;4;5;4;0;3,2139;0;71;NA;"Pluie"
"918";42;12,7;14,3;14,9;8;7;7;NA;-3,2139;-2,5;NA;"Nord";NA
"919";65;14,8;16,3;NA;7;NA;NA;-4,3301;-6,0622;-5,1962;42;"Ouest";"Pluie"
"920";NA;15,5;18;17,4;7;7;6;-3,9392;-3,0642;0;NA;NA;"Sec"
"921";NA;11,3;NA;20,2;NA;3;3;NA;3,7588;3,8302;NA;"Est";NA
"922";NA;15,2;NA;20,3;NA;NA;2;4;5;4,3301;96;"Est";"Sec"
"923";NA;NA;17,6;18,2;1;4;NA;5,1962;NA;3,5;98;"Nord";NA
"924";76;13,3;17,7;17,7;7;NA;6;-0,9397;-0,766;NA;92;NA;NA
"925";84;NA;17,7;17,8;NA;5;6;0;-1;-1,2856;76;"Sud";"Sec"
"927";77;NA;20,8;22,1;6;5;5;NA;-2;NA;71;"Sud";"Pluie"
"928";99;NA;23;22,6;6;NA;NA;1,5;NA;0,8682;77;NA;"Sec"
"929";NA;NA;19,8;22,1;6;5;3;NA;-3,7588;-4;99;"Ouest";"Pluie"
"930";NA;15,7;18,6;20,7;7;7;NA;0;-1,0419;-4;NA;"Sud";"Sec"
